zcta5_2020,statecode,countycode_2022,countycode_2020
b'06387',b'09',b'150',b'015'
b'06389',b'09',b'180',b'011'
b'06401',b'09',b'140',b'009'
b'06403',b'09',b'140',b'009'
b'06405',b'09',b'170',b'009'
b'06409',b'09',b'130',b'007'
b'06410',b'09',b'140',b'009'
b'06412',b'09',b'130',b'007'
b'06413',b'09',b'130',b'007'
b'06414',b'09',b'130',b'007'
b'06415',b'09',b'180',b'011'
b'06416',b'09',b'130',b'007'
b'06417',b'09',b'130',b'007'
b'06418',b'09',b'140',b'009'
b'06419',b'09',b'130',b'007'
b'06420',b'09',b'180',b'011'
b'06422',b'09',b'130',b'007'
b'06423',b'09',b'130',b'007'
b'06424',b'09',b'130',b'007'
b'06426',b'09',b'130',b'007'
b'06437',b'09',b'170',b'009'
b'06438',b'09',b'130',b'007'
b'06439',b'09',b'130',b'011'
b'06441',b'09',b'130',b'007'
b'06442',b'09',b'130',b'007'
b'06443',b'09',b'170',b'009'
b'06444',b'09',b'110',b'003'
b'06447',b'09',b'110',b'003'
b'06450',b'09',b'170',b'009'
b'06451',b'09',b'170',b'009'
b'06455',b'09',b'130',b'007'
b'06456',b'09',b'130',b'007'
b'06457',b'09',b'130',b'007'
b'06459',b'09',b'130',b'007'
b'06460',b'09',b'170',b'009'
b'06461',b'09',b'170',b'009'
b'06467',b'09',b'110',b'003'
b'06468',b'09',b'120',b'001'
b'06469',b'09',b'130',b'007'
b'06470',b'09',b'190',b'001'
b'06471',b'09',b'170',b'009'
b'06472',b'09',b'170',b'009'
b'06473',b'09',b'170',b'009'
b'06475',b'09',b'130',b'007'
b'06477',b'09',b'170',b'009'
b'06478',b'09',b'140',b'009'
b'06479',b'09',b'110',b'003'
b'06480',b'09',b'130',b'007'
b'06481',b'09',b'130',b'007'
b'06482',b'09',b'190',b'001'
b'06483',b'09',b'140',b'009'
b'06484',b'09',b'140',b'001'
b'06488',b'09',b'140',b'009'
b'06489',b'09',b'110',b'003'
b'06492',b'09',b'170',b'009'
b'06498',b'09',b'130',b'007'
b'06510',b'09',b'170',b'009'
b'06511',b'09',b'170',b'009'
b'06512',b'09',b'170',b'009'
b'06513',b'09',b'170',b'009'
b'06514',b'09',b'170',b'009'
b'06515',b'09',b'170',b'009'
b'06516',b'09',b'170',b'009'
b'06517',b'09',b'170',b'009'
b'06518',b'09',b'170',b'009'
b'06519',b'09',b'170',b'009'
b'06524',b'09',b'170',b'009'
b'06525',b'09',b'170',b'009'
b'06604',b'09',b'120',b'001'
b'06605',b'09',b'120',b'001'
b'06606',b'09',b'120',b'001'
b'06607',b'09',b'120',b'001'
b'06608',b'09',b'120',b'001'
b'06610',b'09',b'120',b'001'
b'06611',b'09',b'120',b'001'
b'06612',b'09',b'120',b'001'
b'06614',b'09',b'120',b'001'
b'06615',b'09',b'120',b'001'
b'06702',b'09',b'140',b'009'
b'06704',b'09',b'140',b'009'
b'06705',b'09',b'140',b'009'
b'06706',b'09',b'140',b'009'
b'06708',b'09',b'140',b'009'
b'06710',b'09',b'140',b'009'
b'06712',b'09',b'140',b'009'
b'06716',b'09',b'140',b'009'
b'06750',b'09',b'160',b'005'
b'06751',b'09',b'140',b'005'
b'06752',b'09',b'190',b'005'
b'06753',b'09',b'160',b'005'
b'06754',b'09',b'160',b'005'
b'06755',b'09',b'190',b'005'
b'06756',b'09',b'160',b'005'
b'06757',b'09',b'160',b'005'
b'06758',b'09',b'160',b'005'
b'06759',b'09',b'160',b'005'
b'06762',b'09',b'140',b'009'
b'06763',b'09',b'160',b'005'
b'06770',b'09',b'140',b'009'
b'06776',b'09',b'190',b'005'
b'06777',b'09',b'160',b'005'
b'06778',b'09',b'160',b'005'
b'06779',b'09',b'140',b'005'
b'06782',b'09',b'140',b'005'
b'06783',b'09',b'160',b'005'
b'06784',b'09',b'190',b'001'
b'06785',b'09',b'160',b'005'
b'06786',b'09',b'140',b'005'
b'06787',b'09',b'140',b'005'
b'06790',b'09',b'160',b'005'
b'06791',b'09',b'160',b'005'
b'06793',b'09',b'160',b'005'
b'06794',b'09',b'160',b'005'
b'06795',b'09',b'140',b'005'
b'06796',b'09',b'160',b'005'
b'06798',b'09',b'140',b'005'
b'06801',b'09',b'190',b'001'
b'06804',b'09',b'190',b'001'
b'06807',b'09',b'190',b'001'
b'06810',b'09',b'190',b'001'
b'06811',b'09',b'190',b'001'
b'06812',b'09',b'190',b'001'
b'06820',b'09',b'190',b'001'
b'06824',b'09',b'120',b'001'
b'06825',b'09',b'120',b'001'
b'06830',b'09',b'190',b'001'
b'06831',b'09',b'190',b'001'
b'06840',b'09',b'190',b'001'
b'06850',b'09',b'190',b'001'
b'06851',b'09',b'190',b'001'
b'06853',b'09',b'190',b'001'
b'06854',b'09',b'190',b'001'
b'06855',b'09',b'190',b'001'
b'06870',b'09',b'190',b'001'
b'06877',b'09',b'190',b'001'
b'06878',b'09',b'190',b'001'
b'06880',b'09',b'190',b'001'
b'06883',b'09',b'190',b'001'
b'06890',b'09',b'120',b'001'
b'06896',b'09',b'190',b'001'
b'06897',b'09',b'190',b'001'
b'06901',b'09',b'190',b'001'
b'06902',b'09',b'190',b'001'
b'06903',b'09',b'190',b'001'
b'06905',b'09',b'190',b'001'
b'06906',b'09',b'190',b'001'
b'06907',b'09',b'190',b'001'
