"","statecode","countycode","v124_rawvalue"
"771","17","103",1
"772","17","105",1
"773","17","107",1
"774","17","115",1
"775","17","117",1
"776","17","119",1
"777","17","121",0
"778","17","123",1
"779","17","125",1
"780","17","127",1
"781","17","109",1
"782","17","111",1
"783","17","113",1
"784","17","129",0
"785","17","131",1
"786","17","133",1
"787","17","135",1
"788","17","137",1
"789","17","139",0
"790","17","141",1
"791","17","143",1
"792","17","145",1
"793","17","147",1
"794","17","149",1
"795","17","151",0
"796","17","153",1
"797","17","155",1
"798","17","157",1
"799","17","159",1
"800","17","161",1
"801","17","165",1
"802","17","167",1
"803","17","169",0
"804","17","171",1
"805","17","173",1
"806","17","175",1
"807","17","163",1
"808","17","177",1
"809","17","179",1
"810","17","181",1
"811","17","183",1
"812","17","185",0
"813","17","187",1
"814","17","189",0
"815","17","191",1
"816","17","193",1
"817","17","195",1
"818","17","197",1
"819","17","199",1
"820","17","201",1
"821","17","203",1
"822","18","001",0
"823","18","003",1
"824","18","005",1
"825","18","007",0
"826","18","009",0
"827","18","011",1
"828","18","013",0
"829","18","015",1
"830","18","017",1
"831","18","019",1
"832","18","021",1
"833","18","023",0
"834","18","025",1
"835","18","027",0
"836","18","029",1
"837","18","031",1
"838","18","033",1
"839","18","035",1
"840","18","037",1
"841","18","039",1
"842","18","041",0
"843","18","043",0
"844","18","045",1
"845","18","047",1
"846","18","049",0
"847","18","051",1
"848","18","053",1
"849","18","055",1
"850","18","057",1
"851","18","059",0
"852","18","061",1
"853","18","063",1
"854","18","065",0
"855","18","067",0
"856","18","069",1
"857","18","000",NA
"858","18","071",1
"859","18","073",1
"860","18","075",0
"861","18","077",0
"862","18","079",1
"863","18","081",0
"864","18","083",1
"865","18","085",1
"866","18","087",1
"867","18","089",1
"868","18","091",1
"869","18","093",0
"870","18","095",1
"871","18","097",0
"872","18","099",1
"873","18","101",0
"874","18","103",1
"875","18","105",1
"876","18","107",1
"877","18","109",0
"878","18","111",1
"879","18","113",0
"880","18","115",0
"881","18","117",0
"882","18","119",0
"883","18","121",1
"884","18","123",0
"885","18","125",1
"886","18","127",1
"887","18","129",1
"888","18","131",0
"889","18","133",1
"890","18","135",0
"891","18","137",0
"892","18","139",0
"893","18","143",0
"894","18","145",1
"895","18","147",0
"896","18","149",0
"897","18","151",1
"898","18","141",1
"899","18","153",1
"900","18","155",0
"901","18","157",1
"902","18","159",1
"903","18","161",0
"904","18","163",0
"905","18","165",1
"906","18","167",1
"907","18","169",1
"908","18","171",0
"909","18","173",1
"910","18","175",0
"911","18","177",1
"912","18","179",1
"913","18","181",1
"914","18","183",0
"915","20","001",0
"916","20","003",0
"917","20","005",0
"918","20","007",1
"919","20","009",1
"920","20","011",1
"921","20","013",1
"922","20","015",0
"923","20","017",0
"924","20","019",1
"925","20","021",1
"926","20","023",0
"927","20","025",0
"928","20","027",0
"929","20","029",0
"930","20","031",0
"931","20","033",0
"932","20","035",0
"933","20","037",0
"934","20","039",0
"935","20","041",1
"936","20","043",0
"937","20","045",0
"938","20","047",1
"939","20","049",1
"940","20","051",1
"941","20","053",0
"942","20","055",0
"943","20","057",1
"944","20","059",1
"945","20","061",1
"946","20","063",1
"947","20","065",1
"948","20","067",0
"949","20","069",1
"950","20","071",1
"951","20","073",1
"952","20","075",0
"953","20","077",0
"954","20","079",0
"955","20","081",1
"956","20","083",0
"957","20","085",0
"958","20","087",0
"959","20","089",1
"960","20","091",1
"961","20","000",NA
"962","20","093",1
"963","20","095",0
"964","20","097",0
"965","20","099",1
"966","20","101",0
"967","20","103",0
"968","20","105",1
"969","20","107",1
"970","20","109",1
"971","20","111",1
"972","20","115",1
"973","20","117",0
"974","20","113",0
"975","20","119",0
"976","20","121",1
"977","20","123",1
"978","20","125",1
"979","20","127",0
"980","20","129",0
"981","20","131",0
"982","20","133",0
"983","20","135",0
"984","20","137",0
"985","20","139",1
"986","20","141",1
"987","20","143",0
"988","20","145",0
"989","20","147",0
"990","20","149",1
"991","20","151",1
"992","20","153",0
"993","20","155",1
"994","20","157",1
"995","20","159",0
"996","20","161",0
"997","20","163",1
"998","20","165",1
"999","20","167",1
"1000","20","169",0
"1001","20","171",0
"1002","20","173",0
"1003","20","175",0
"1004","20","177",1
"1005","20","179",0
"1006","20","181",0
"1007","20","183",1
"1008","20","185",0
"1009","20","187",0
"1010","20","189",0
"1011","20","191",1
"1012","20","193",0
"1013","20","195",0
"1014","20","197",1
"1015","20","199",0
"1016","20","201",1
"1017","20","203",0
"1018","20","205",1
"1019","20","207",1
"1020","20","209",0
"1021","21","001",0
"1022","21","003",0
"1023","21","005",1
"1024","21","007",0
"1025","21","009",0
"1026","21","011",0
"1027","21","013",0
"1028","21","015",0
"1029","21","017",0
"1030","21","019",1
"1031","21","021",0
"1032","21","023",0
"1033","21","025",1
"1034","21","027",0
"1035","21","029",0
"1036","21","031",1
"1037","21","033",0
"1038","21","035",0
"1039","21","037",0
"1040","21","039",0
"1041","21","041",1
"1042","21","043",0
"1043","21","045",0
"1044","21","047",0
"1045","21","049",0
"1046","21","051",0
