"statecode","countycode","v044_numerator","v044_denominator","v044_rawvalue","v044_cilow","v044_cihigh"
"21","017",125103,22722,5.50580934776868,4.51294565359473,6.49867304194264
"21","019",116743,21396,5.45630024303608,4.77006998868343,6.14253049738873
"21","021",117107,23339,5.01765285573504,4.1858227304933,5.84948298097677
"21","023",134938,29478,4.57758328244793,3.47754920422675,5.67761736066911
"21","025",83707,12422,6.73860891965867,5.04851978855776,8.42869805075958
"21","027",114315,20785,5.49987972095261,4.40992427313321,6.58983516877201
"21","029",147765,37923,3.89644806581758,3.48937389916307,4.30352223247209
"21","031",100292,21240,4.72184557438795,3.81881754324791,5.62487360552799
"21","033",109643,22376,4.90002681444405,3.7338600382332,6.0661935906549
"21","035",104416,22037,4.73821300540001,4.04746657481977,5.42895943598024
"21","037",156436,33362,4.68904741921947,4.30824290271177,5.06985193572717
"21","039",118333,26035,4.5451507585942,3.97722206236048,5.11307945482792
"21","041",122192,19443,6.28462685799516,4.60087424883603,7.9683794671543
"21","043",111644,19195,5.81630632977338,4.89834832445092,6.73426433509583
"21","045",94225,19985,4.71478608956718,3.40930048874502,6.02027169038933
"21","047",99121,24184,4.09861892160106,3.5373780580903,4.65985978511182
"21","049",125866,27468,4.58227755934178,3.8482678491274,5.31628726955616
"21","051",86847,15054,5.76903148664807,4.78635536590871,6.75170760738743
"21","053",94873,18667,5.08239138586811,3.75279713039005,6.41198564134617
"21","055",106313,24935,4.26360537397233,3.38630738806371,5.14090335988095
"21","057",83281,11856,7.02437584345479,5.31840943424507,8.73034225266452
"21","059",128914,27174,4.74402001913594,4.35814011238951,5.12989992588236
"21","061",100318,25155,3.98799443450606,3.24986664621477,4.72612222279736
"21","063",104318,16744,6.23017200191113,3.1567946810267,9.30354932279556
"21","065",94333,17775,5.30706047819972,3.89508334920722,6.71903760719222
"21","067",147497,29361,5.02356867954089,4.76671528947378,5.28042206960799
"21","069",102136,17888,5.70974955277281,4.12756946456285,7.29192964098277
"21","071",96643,15945,6.06102226403261,5.03433190105913,7.0877126270061
