statecode,countycode,v037_race_white,v037_race_black,v037_race_aian,v037_race_asian,v037_race_nhopi,v037_race_tom,v037_race_hispanic,v037_race_,v037_race_white_cilow,v037_race_black_cilow,v037_race_aian_cilow,v037_race_asian_cilow,v037_race_nhopi_cilow,v037_race_tom_cilow,v037_race_hispanic_cilow,v037_race__cilow,v037_race_white_cihigh,v037_race_black_cihigh,v037_race_aian_cihigh,v037_race_asian_cihigh,v037_race_nhopi_cihigh,v037_race_tom_cihigh,v037_race_hispanic_cihigh,v037_race__cihigh
02,020,0.05625531914893617,0.13380909901873328,0.08174740484429066,0.09383481969755719,0.06359649122807018,0.0710868079289132,0.07178464606181456,0.06493506493506493,0.05208906083880587,0.11387930101652238,0.07057928087994635,0.08258058164211214,0.05239716879973883,0.06177570811302178,0.06256137158272065,0.04032083621574423,0.06042157745906646,0.15373889702094418,0.09291552880863498,0.10508905775300224,0.07479581365640153,0.08039790774480463,0.08100792054090847,0.08954929365438563
02,050,NA,NA,0.08845696152320508,NA,NA,0.08870967741935484,NA,NA,NA,NA,0.0773722537941237,NA,NA,0.038664860138251676,NA,NA,NA,NA,0.09954166925228645,NA,NA,0.138754494700458,NA,NA
02,060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,070,NA,NA,0.0847457627118644,NA,NA,NA,NA,NA,NA,NA,0.057885459185637964,NA,NA,NA,NA,NA,NA,NA,0.11160606623809084,NA,NA,NA,NA,NA
02,090,0.05948017327557481,0.10699588477366255,0.0593607305936073,0.075,0.12,0.06976744186046512,0.0681198910081744,NA,0.053496358167944395,0.07951389307858,0.04129171227955307,0.047791392293369116,0.05630753890765407,0.052740799528258706,0.05323727059741819,NA,0.06546398838320523,0.1344778764687451,0.07742974890766154,0.10220860770663087,0.18369246109234594,0.08679408419267153,0.0830025114189306,NA
02,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02,110,0.04823428079242033,NA,0.08968609865470852,NA,NA,0.0449438202247191,NA,NA,0.03590939526534899,NA,0.052183462748726275,NA,NA,0.020092475565904096,NA,NA,0.06055916631949167,NA,0.12718873456069074,NA,NA,0.0697951648835341,NA,NA
