"statecode","countycode","v014_race_white","v014_race_white_cilow","v014_race_white_cihigh","v014_race_black","v014_race_black_cilow","v014_race_black_cihigh","v014_race_asian","v014_race_asian_cilow","v014_race_asian_cihigh","v014_race_aian","v014_race_aian_cilow","v014_race_aian_cihigh","v014_race_nhopi","v014_race_nhopi_cilow","v014_race_nhopi_cihigh","v014_race_tom","v014_race_tom_cilow","v014_race_tom_cihigh","v014_race_hispanic","v014_race_hispanic_cilow","v014_race_hispanic_cihigh"
"39","169",10.7173589924118,9.4483386959163,11.9863792889073,15.3139356814701,7.3436274060221,28.1628729586796,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2086570477248,6.09451761069572,21.8446598371831,28.312570781427,18.3224029986742,41.7949396348022
"25","005",4.47409820701351,4.03618363424837,4.91201277977866,17.2733596104799,14.4997856472481,20.0469335737118,2.60620276257493,1.24977552674809,4.79289967214433,NA,NA,NA,NA,NA,NA,9.37950937950938,6.66974807345755,12.8220980918309,31.8145207686112,29.162854332993,34.4661872042294
"42","069",7.74709838531173,6.82810196605913,8.66609480456433,32.4582338902148,25.2050886647363,41.1485456592026,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1193181818182,20.8965254747552,39.5036431574822,27.2661348803481,23.3685038384957,31.1637659222004
"09","013",1.23463141108082,0.910319739273709,1.63694213133719,5.41711809317443,2.59771868696232,9.96227304551342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.57449088960343,5.86494542103016,12.1046227436818
"53","045",11.4447286926081,9.14164279046647,14.1515842626766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7713920817369,6.12437892226365,23.4870447535348,59.0277777777778,49.1070610122424,68.9484945433132
"05","139",30.2512808001952,24.9266561838757,35.5759054165147,48.8357050452781,41.0462861494854,56.6251239410709,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.475935828877,25.64378981889,98.3441499573143,36.0065466448445,22.5651110838455,54.5143443324472
"27","099",9.73323720259553,7.31190734905277,12.6997632288592,NA,NA,NA,19.774011299435,10.8106359834754,33.1774309630446,NA,NA,NA,NA,NA,NA,32.5732899022801,15.6201586193239,59.9034398762794,39.8963730569948,31.4855937069671,49.8636209845196
"48","067",29.6045197740113,24.5348643256884,34.6741752223342,23.719165085389,15.349793024506,35.0141666959491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3644859813084,11.2041791965711,42.9681215934995
"13","257",27.3679709215309,22.6267118541779,32.1092299888839,25.5681818181818,15.1533249721584,40.4087503800113,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3223140495868,19.8156557691423,75.9932067851974,35.6234096692112,19.4756495580168,59.7700282998361
"48","103",33.6700336700337,16.1460898859678,61.9203907138646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.0147835269271,26.6250870298999,52.6284841491407
"29","510",6.42609985170539,5.19104322211544,7.66115648129534,36.3191042687194,34.109611809697,38.5285967277418,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5387149917628,30.9366093850568,49.7924678993179,46.7836257309941,39.3461056042972,54.2211458576911
"47","109",24.7334754797441,20.2324422081093,29.2345087513789,26.4550264550265,12.6862134818318,48.6517355608936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,51.9031141868512,42.6164687481823,61.1897596255201,NA,NA,NA,59.8802395209581,28.7149023720505,110.121892467172,NA,NA,NA
"54","057",21.9711236660389,17.768565913103,26.1736814189749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.8930817610063,30.1596773341663,115.662616616464,NA,NA,NA
"08","035",1.74418604651163,1.43211156607264,2.05626052695062,8.48896434634975,4.07078836683568,15.6115076757367,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61506276150628,1.25402424062041,4.80919352563226,7.75413711583924,6.16709536339521,9.62492871263056
"48","407",30.8098591549296,24.9166597707509,36.7030585391082,27.6008492569002,14.696289789817,47.1982928198702,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5555555555556,26.6410483118469,102.168644677877,28.3975659229209,20.4664677028247,38.3852594851188
"51","187",13.7498131818861,11.0842900562341,16.8629252730049,28.2485875706215,13.5462957517865,51.9501583107847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","103",21.5605749486653,13.3463357126039,32.9576290913176,18.9035916824197,9.06500698701783,34.7643781512623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","107",1.04454226665672,0.789036002809636,1.35642501692877,2.71407246573483,1.65782597169276,4.19166479884307,0.479685326425865,0.230027759204319,0.882158394110317,NA,NA,NA,NA,NA,NA,1.42389292325217,0.682812002866643,2.61858978243169,17.2344459125639,15.2841847631212,19.1847070620067
"08","005",4.30710999445296,3.78754477524435,4.82667521366158,14.2404079348299,12.3959839523148,16.0848319173451,3.84167636786962,2.64443324478811,5.39514194053193,17.6678445229682,8.4724181910467,32.4917951272399,38.4615384615385,21.5266311097008,63.4364586448355,9.70873786407767,7.69842531444058,12.0833646805144,23.3422846519314,21.9076577984604,24.7769115054025
