"statecode","countycode","v014_numerator","v014_denominator","v014_rawvalue","v014_cihigh","v014_cilow"
"05","053",82,3865,21.2160413971539,26.3347014582324,16.8737473396907
"19","197",83,3042,27.284681130835,33.8234673889764,21.7320962188702
"29","015",83,3230,25.6965944272446,31.8547949836737,20.4671940240877
"27","085",83,7892,10.5169792194627,13.037378078721,8.37671524300597
"51","149",83,8987,9.23556247913653,11.4488692330328,7.35607396214567
"29","049",83,4611,18.0004337453915,22.3142458896695,14.3372450006079
"54","029",83,5080,16.3385826771654,20.2541314561547,13.0135899011423
"51","199",83,15722,5.27922656150617,6.5443956110715,4.2048744878389
"50","003",83,8178,10.1491807287845,12.5814365122605,8.0837657982151
"21","053",83,1770,46.8926553672316,58.1305015803763,37.3497382473464
"30","081",83,8150,10.1840490797546,12.6246610794192,8.11153824512922
"13","085",84,5363,15.6628752563864,19.3917053458676,12.4933227185877
"24","035",84,10581,7.93875815140346,9.82872278328019,6.33226441166109
"21","203",84,3454,24.3196294151708,30.1093560422373,19.398288865022
"26","105",84,5369,15.645371577575,19.3700346004633,12.4793610988612
"17","159",84,3046,27.5771503611294,34.1423886309546,21.9966151476645
"26","007",84,5119,16.4094549716742,20.3160218343207,13.0888239382274
"13","011",84,3642,23.0642504118616,28.5551114140274,18.3969494068605
"24","041",84,6396,13.1332082551595,16.2598054674621,10.4755612476213
"22","021",84,2076,40.4624277456647,50.0952388101578,32.2744170230183
"27","009",84,9252,9.07911802853437,11.2405659068188,7.2418601102233
"48","255",84,2972,28.2637954239569,34.9925019414158,22.544310141247
"48","455",84,2726,30.8143800440205,38.1502992552779,24.5787563242062
"42","119",84,13149,6.38831850330824,7.9091729994591,5.09557302759039
"05","041",85,2793,30.4332259219477,37.6311551446112,24.3089799515913
"20","113",85,7512,11.3152289669862,13.9914558464988,9.03820300915795
"17","075",85,5456,15.5791788856305,19.2638959528774,12.4440947589433
"24","023",85,4860,17.4897119341564,21.6262996540944,13.970160700575
"46","029",85,6047,14.0565569703985,17.3811503752107,11.2278784529179
